titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0131704,11,The Adventures of Rocky & Bullwinkle,US,\N,imdbDisplay,\N,0
tt0131704,29,The Rocky and Bullwinkle Movie,US,\N,working,\N,0
tt0131704,3,The Rocky & Bullwinkle Movie,US,\N,working,\N,0
tt0132078,5,Dead by Monday,US,\N,imdbDisplay,\N,0
tt0132245,17,Champs,US,\N,working,\N,0
tt0132245,24,Ruutulippu,US,\N,working,\N,0
tt0132245,35,Driven,US,\N,imdbDisplay,\N,0
tt0132245,46,Formula One,US,\N,working,\N,0
tt0132245,47,Into Thin Air,US,\N,working,\N,0
tt0132885,1,BlackMale,US,\N,imdbDisplay,\N,0
tt0132910,24,The Crow 3,US,\N,working,\N,0
tt0132910,9,The Crow: Salvation,US,\N,imdbDisplay,\N,0
tt0133063,2,Lightmaker,US,\N,imdbDisplay,\N,0
tt0133152,25,The Visitor,US,\N,working,\N,0
tt0133152,28,Return of the Apes,US,\N,working,\N,0
tt0133152,37,Planet of the Apes,US,\N,imdbDisplay,\N,0
tt0133752,2,Fallen Arches,US,\N,imdbDisplay,\N,0
tt0134084,39,Scream 3,US,\N,imdbDisplay,\N,0
tt0134084,41,Ghostface,US,\N,working,\N,0
tt0134084,58,Scream 3: Ghostface Killer,US,\N,working,\N,0
tt0134630,4,Duets,US,\N,imdbDisplay,\N,0
tt0134847,25,Pitch Black,US,\N,imdbDisplay,\N,0
tt0134847,27,The Chronicles of Riddick: Pitch Black,US,\N,\N,DVD box title,0
tt0134847,58,Nightfall,US,\N,working,\N,0
tt0134983,19,Supernova,US,\N,imdbDisplay,\N,0
tt0135707,6,Wind River,US,\N,imdbDisplay,\N,0
tt0136666,3,Simon Says,US,\N,imdbDisplay,\N,0
tt0137115,3,Mothman,US,\N,imdbDisplay,\N,0
tt0137698,3,Asian Girl Vol. 1 No. 1,US,\N,\N,video box title,0
tt0137698,4,Asians #1,US,\N,video,\N,0
tt0138288,3,All Saints Day,US,\N,imdbDisplay,\N,0
tt0138353,3,Cement,US,\N,imdbDisplay,\N,0
tt0138583,1,Love... at Your Disposal,US,\N,imdbDisplay,\N,0
tt0138749,21,The Road to El Dorado,US,\N,imdbDisplay,\N,0
tt0138749,24,The Road to El Dorado,US,en,\N,\N,0
tt0138749,42,El Dorado,US,\N,alternative,\N,0
tt0138818,1,The Hiding Place,US,\N,imdbDisplay,\N,0
tt0138818,5,A Smaller Place,US,\N,working,\N,0
tt0138856,3,Tales from the Tower,US,\N,imdbDisplay,\N,0
tt0138927,2,Waterproof,US,\N,imdbDisplay,\N,0
tt0138946,2,The Yards,US,\N,imdbDisplay,\N,0
tt0139159,2,Dog Story,US,\N,imdbDisplay,\N,0
tt0139388,19,It Had to Be You,US,\N,imdbDisplay,\N,0
tt0139500,15,In Vanda's Room,US,\N,imdbDisplay,\N,0
tt0139654,15,Training Day,US,\N,imdbDisplay,\N,0
tt0141120,10,The Ghost,US,\N,imdbDisplay,\N,0
tt0141120,13,Code of the Dragon,US,\N,\N,cable TV title,0
tt0141907,3,Town & Country,US,\N,imdbDisplay,\N,0
tt0141926,6,U-571,US,\N,imdbDisplay,\N,0
tt0142650,7,Meeting Daddy,US,\N,imdbDisplay,\N,0
tt0143344,1,Knockout,US,\N,imdbDisplay,\N,0
tt0144084,48,American Psycho,US,\N,imdbDisplay,\N,0
tt0144136,2,Chippendales,US,\N,imdbDisplay,\N,0
tt0144142,18,Committed,US,\N,imdbDisplay,\N,0
tt0144189,12,Footsteps,US,\N,working,\N,0
tt0144189,5,Deadline,US,\N,working,\N,0
tt0144528,12,Nutty II: The Klumps,US,\N,working,\N,0
tt0144528,25,The Nutty Professor II,US,\N,working,\N,0
tt0144528,32,Nutty Professor II: Buddy's Revenge,US,\N,working,\N,0
tt0144528,33,Klumps,US,\N,working,\N,0
tt0144528,42,Nutty Professor II: The Klumps,US,\N,\N,\N,0
tt0144574,2,Red Lipstick,US,\N,imdbDisplay,\N,0
tt0144608,6,Sinbad: Beyond the Veil of Mists,US,\N,imdbDisplay,\N,0
tt0144964,10,Highlander IV: World Without End,US,\N,working,\N,0
tt0144964,31,Highlander: Endgame,US,\N,imdbDisplay,\N,0
tt0144964,3,Highlander IV,US,\N,working,\N,0
tt0144964,7,Highlander 4: The Search for Connor,US,\N,working,\N,0
tt0144964,8,Highlander: A New Order,US,\N,working,\N,0
tt0146309,14,13 Days,US,\N,\N,alternative spelling,0
tt0146309,50,Thirteen Days,US,\N,imdbDisplay,\N,0
tt0146316,13,Tomb Raider: The Movie,US,\N,working,\N,0
tt0146316,33,Tomb Raider: The Achilles Shield,US,\N,working,\N,0
tt0146316,34,Tomb Raider,US,\N,\N,short title,0
tt0146316,43,Lara Croft: Tomb Raider,US,\N,imdbDisplay,\N,0
tt0146316,47,Tomb Raider: The Adventures of Lara Croft,US,\N,working,\N,0
tt0146882,41,High Fidelity,US,\N,imdbDisplay,\N,0
tt0146984,33,The Legend of Bagger Vance,US,\N,imdbDisplay,\N,0
tt0147447,3,Rocco's Cocktales 6,US,\N,\N,\N,0
tt0147486,1,Shafted!,US,\N,imdbDisplay,\N,0
tt0148095,1,Eat Me!,US,\N,imdbDisplay,\N,0
tt0148415,1,Little Shop of Erotica,US,\N,imdbDisplay,\N,0
tt0148421,5,Looking for an Echo,US,\N,imdbDisplay,\N,0
tt0149367,8,Where the Money Is,US,\N,imdbDisplay,\N,0
tt0149624,6,All the Pretty Horses,US,\N,imdbDisplay,\N,0
tt0150021,3,Camouflage,US,\N,imdbDisplay,\N,0
tt0151150,5,Josh,US,\N,imdbDisplay,\N,0
tt0151309,1,Laughing Boy,US,\N,imdbDisplay,\N,0
tt0151685,2,Love,US,\N,\N,new title,0
tt0152083,1,Probably Love,US,\N,imdbDisplay,\N,0
tt0153012,12,Strip and Run,US,\N,alternative,\N,0
tt0153012,4,The Thief and the Stripper,US,\N,\N,alternative spelling,0
tt0153012,5,Strip 'n Run,US,\N,dvd,\N,0
tt0153012,6,Baracuda,US,\N,alternative,\N,0
tt0153012,8,Final Reckoning,US,\N,video,\N,0
tt0153012,9,The Thief & the Stripper,US,\N,\N,\N,0
tt0153100,1,Time of Her Time,US,\N,imdbDisplay,\N,0
tt0153464,24,Up at the Villa,US,\N,imdbDisplay,\N,0
tt0153533,2,Bitten: Victoria's Shadow,US,\N,\N,new title,0
tt0153821,5,Wild Blue,US,\N,imdbDisplay,\N,0
tt0155150,1,Secrets of a Chambermaid,US,\N,imdbDisplay,\N,0
tt0156020,2,Ricky Six,US,\N,\N,alternative spelling,0
tt0156020,5,Ricky 6,US,\N,imdbDisplay,\N,0
tt0156323,21,Pittsburgh,US,\N,working,\N,0
tt0156323,24,Screwed,US,\N,imdbDisplay,\N,0
tt0156323,25,Foolproof,US,\N,working,\N,0
tt0156323,29,Ballbusted,US,\N,working,\N,0
tt0156741,3,Low Rent,US,\N,alternative,\N,0
tt0156741,6,Apartment 12,US,\N,\N,new title,0
tt0156757,2,Perfect Timing,US,\N,working,\N,0
tt0156807,14,Mr. Accident,US,\N,imdbDisplay,\N,0
tt0156812,2,My Dog Skip,US,\N,imdbDisplay,\N,0
tt0156841,18,The Red Curtain,US,\N,working,\N,0
tt0156841,19,The Next Best Thing,US,\N,imdbDisplay,\N,0
tt0156942,1,Rave,US,\N,imdbDisplay,\N,0
tt0157007,4,Seeing in the Dark,US,\N,working,\N,0
tt0157122,23,Faithless,US,\N,imdbDisplay,\N,0
tt0157202,2,Yup Yup Man,US,\N,imdbDisplay,\N,0
tt0157202,3,Yup Yup Man... a Modern Day Caped Crusader,US,\N,working,\N,0
tt0157202,4,Dark Justice,US,\N,video,\N,0
tt0157262,29,2000.1: A Space Travesty,US,\N,\N,promotional title,0
tt0157583,9,Enigma,US,\N,imdbDisplay,\N,0
tt0157836,2,Island of the Dead,US,\N,imdbDisplay,\N,0
tt0158033,17,Nora,US,\N,imdbDisplay,\N,0
tt0158622,24,The Flintstones 2: Viva Rock Vegas,US,\N,working,\N,0
tt0158622,28,The Flintstones in Viva Rock Vegas,US,\N,imdbDisplay,\N,0
tt0158622,37,The Flintstones 2,US,\N,working,\N,0
tt0158721,1,Lennon,US,\N,imdbDisplay,\N,0
tt0159230,2,18 D,US,\N,imdbDisplay,\N,0
tt0159254,2,April's Fool,US,\N,imdbDisplay,\N,0
tt0159273,52,Behind Enemy Lines,US,\N,imdbDisplay,\N,0
tt0159291,5,Attention Shoppers,US,\N,imdbDisplay,\N,0
tt0159291,6,Blue Light Special,US,\N,working,\N,0
tt0159371,4,Impact,US,\N,\N,new title,0
tt0159378,2,The Demo Crew,US,\N,imdbDisplay,\N,0
tt0159396,4,Civility,US,\N,imdbDisplay,\N,0
tt0159396,6,The Day October Died,US,\N,working,\N,0
tt0159396,7,Malicious Intent,US,\N,video,\N,0
tt0159784,11,Hackers 2: Takedown,US,\N,\N,bootleg title,0
tt0159784,16,"Takedown: The Pursuit and Capture of Kevin Mitnick, America's Most Wanted Computer Outlaw",US,\N,\N,complete title,0
tt0159784,21,Track Down,US,\N,\N,DVD box title,0
tt0159784,2,Takedown,US,\N,imdbDisplay,\N,0
tt0160009,19,The Art of War,US,\N,imdbDisplay,\N,0
tt0160127,24,Charlie's Angels,US,\N,imdbDisplay,\N,0
tt0160127,27,Charlie's Angels: The Movie,US,\N,working,\N,0
tt0160256,4,The Unscarred,US,\N,imdbDisplay,\N,0
tt0160270,2,Fat Chance,US,\N,imdbDisplay,\N,0
tt0160275,4,Final Solution,US,\N,imdbDisplay,\N,0
tt0160289,3,Four Dogs Playing Poker,US,\N,imdbDisplay,\N,0
tt0160289,6,4 Dogs Playing Poker,US,\N,\N,video box title,0
tt0160370,1,The Homeboy,US,\N,imdbDisplay,\N,0
tt0160399,4,Impostor,US,\N,imdbDisplay,\N,0
tt0160403,8,The Independent,US,\N,imdbDisplay,\N,0
tt0160425,3,Killing Cinderella,US,\N,imdbDisplay,\N,0
tt0160434,2,Kitchen Privileges,US,\N,working,\N,0
tt0160434,5,Housebound,US,\N,imdbDisplay,\N,0
tt0160447,1,The Last Great Ride,US,\N,imdbDisplay,\N,0
tt0160480,2,Long Lost Love,US,\N,imdbDisplay,\N,0
tt0160484,2,Lost Souls,US,\N,imdbDisplay,\N,0
tt0160495,12,Luckytown Blues,US,\N,working,\N,0
tt0160495,13,Luckytown,US,\N,imdbDisplay,\N,0
tt0160547,5,More Dogs Than Bones,US,\N,imdbDisplay,\N,0
tt0160607,1,Open Return,US,\N,imdbDisplay,\N,0
tt0160611,8,Ordinary Decent Criminal,US,\N,imdbDisplay,\N,0
tt0160616,5,Other Voices,US,\N,imdbDisplay,\N,0
tt0160644,19,Passion of Mind,US,\N,imdbDisplay,\N,0
tt0160652,7,The Perfect Tenant,US,\N,imdbDisplay,\N,0
tt0160663,2,Physical Graffiti,US,\N,working,\N,0
tt0160663,8,Blast,US,\N,imdbDisplay,\N,0
tt0160710,2,Punks,US,\N,imdbDisplay,\N,0
tt0160749,4,Red Dirt,US,\N,imdbDisplay,\N,0
tt0160751,3,The Redemption,US,\N,imdbDisplay,\N,0
tt0160759,1,Breathing Under Water,US,\N,imdbDisplay,\N,0
tt0160797,19,Rules of Engagement,US,\N,imdbDisplay,\N,0
tt0160859,6,Shades of Darkness,US,\N,imdbDisplay,\N,0
tt0160905,3,Spooky House,US,\N,imdbDisplay,\N,0
tt0161003,3,Train Ride,US,\N,imdbDisplay,\N,0
tt0161081,11,What Lies Beneath,US,\N,imdbDisplay,\N,0
tt0161083,14,What's the Worst That Could Happen?,US,\N,imdbDisplay,\N,0
tt0161102,1,Working Stiff,US,\N,imdbDisplay,\N,0
tt0161216,11,Abbie!,US,\N,working,\N,0
tt0161216,6,Steal This Movie,US,\N,imdbDisplay,\N,0
tt0161509,5,Divorce Chili,US,\N,working,\N,0
tt0161509,6,Slice & Dice,US,\N,imdbDisplay,\N,0
tt0161860,10,Nowhere in Africa,US,\N,imdbDisplay,\N,0
tt0162030,1,Unseen,US,\N,\N,cable TV title,0
tt0162030,7,Unseen Evil,US,\N,imdbDisplay,\N,0
tt0162203,1,Blue Shark Hash,US,\N,imdbDisplay,\N,0
tt0162222,19,Cast Away,US,\N,imdbDisplay,\N,0
tt0162346,22,Ghost World,US,\N,imdbDisplay,\N,0
tt0162650,25,Shaft Returns,US,\N,working,\N,0
tt0162650,2,Shaft,US,\N,imdbDisplay,\N,0
tt0162672,3,Stained Glass,US,\N,imdbDisplay,\N,0
tt0162711,2,Trixie,US,\N,imdbDisplay,\N,0
tt0162983,11,Hanging Up,US,\N,imdbDisplay,\N,0
tt0163025,20,Jurassic Park 3: The Extinction,US,\N,working,\N,0
tt0163025,25,The Extinction: Jurassic Park 3,US,\N,working,\N,0
tt0163025,28,Jurassic Park 3,US,\N,alternative,\N,0
tt0163025,37,Return to the Island: Jurassic Park 3,US,\N,working,\N,0
tt0163025,41,JP3,US,\N,\N,promotional abbreviation,0
tt0163025,56,Jurassic Park: Breakout,US,\N,working,\N,0
tt0163025,8,Jurassic Park III,US,\N,imdbDisplay,\N,0
tt0163080,7,The Magic Pudding,US,\N,imdbDisplay,\N,0
tt0163125,14,The Operator,US,\N,imdbDisplay,\N,0
tt0163246,2,Skippy,US,\N,imdbDisplay,\N,0
tt0163566,1,The Stranger,US,\N,imdbDisplay,\N,0
tt0163566,5,Butterfly Legend,US,\N,working,\N,0
tt0163596,3,Dark Water,US,\N,imdbDisplay,\N,0
tt0163676,22,The in Crowd,US,\N,imdbDisplay,\N,0
tt0163676,25,In Crowd,US,\N,\N,alternative spelling,0
tt0163745,7,The Debut,US,\N,imdbDisplay,\N,0
tt0163764,5,Net Worth,US,\N,imdbDisplay,\N,0
tt0163978,32,The Beach,US,\N,imdbDisplay,\N,0
tt0163983,23,Bless the Child,US,\N,imdbDisplay,\N,0
tt0164052,23,Hollow Man,US,\N,imdbDisplay,\N,0
tt0164182,2,The Stonecutter,US,\N,imdbDisplay,\N,0
tt0164192,15,Teen Monster,US,\N,alternative,\N,0
tt0164192,4,Boltneck,US,\N,imdbDisplay,\N,0
tt0164212,45,Under Suspicion,US,\N,imdbDisplay,\N,0
tt0164212,5,Third Degree,US,\N,working,\N,0
tt0164318,3,Across the Line,US,\N,imdbDisplay,\N,0
tt0164334,42,Along Came a Spider,US,\N,imdbDisplay,\N,0
tt0164545,9,Doomsday Man,US,\N,imdbDisplay,\N,0
tt0164555,3,Early Bird Special,US,\N,imdbDisplay,\N,0
tt0164599,1,Frannie Lew High,US,\N,imdbDisplay,\N,0
tt0164953,2,American Mythology,US,\N,alternative,\N,0
tt0164953,3,Urban Mythology,US,\N,imdbDisplay,\N,0
tt0164961,1,Vidocq,US,\N,imdbDisplay,\N,0
tt0164961,25,Dark Portals: The Chronicles of Vidocq,US,\N,dvd,\N,0
tt0165186,2,Couch Taters,US,\N,imdbDisplay,\N,0
tt0165400,8,Nautilus,US,\N,imdbDisplay,\N,0
tt0165452,1,The Rules (for Men),US,\N,imdbDisplay,\N,0
tt0165642,1,Black Sea 213,US,\N,imdbDisplay,\N,0
tt0165713,1,The Distinct Smell of Red,US,\N,imdbDisplay,\N,0
tt0165800,17,The Giving Tree,US,\N,imdbDisplay,\N,0
tt0165800,2,Shaded Places,US,\N,alternative,\N,0
tt0165800,8,Brutal Truth,US,\N,dvd,\N,0
tt0165891,2,The NSA,US,\N,imdbDisplay,\N,0
tt0165899,1,No Pills in Happyland,US,\N,imdbDisplay,\N,0
tt0165928,10,Fallen Angel,US,\N,tv,\N,0
tt0165928,7,Eternal Revenge,US,\N,tv,\N,0
tt0165929,18,Romeo Must Die,US,\N,imdbDisplay,\N,0
tt0166013,10,Veronica Guerin,US,\N,working,\N,0
tt0166110,4,Bones,US,\N,imdbDisplay,\N,0
tt0166158,17,Daddy & Them,US,\N,\N,DVD box title,0
tt0166158,6,Daddy and Them,US,\N,imdbDisplay,\N,0
tt0166186,3,Still Life,US,\N,imdbDisplay,\N,0
tt0166192,10,Mystery Kids,US,\N,dvd,\N,0
tt0166192,4,Finding Kelly,US,\N,imdbDisplay,\N,0
tt0166276,10,Monkeybone,US,\N,imdbDisplay,\N,0
tt0166276,14,Untitled Monkeybone Project,US,\N,working,\N,0
tt0166276,15,Dark Town,US,\N,working,\N,0
tt0166339,2,Screenland Drive,US,\N,imdbDisplay,\N,0
tt0166370,11,Subconscious Cruelty,US,\N,imdbDisplay,\N,0
tt0166924,12,Mulholland Drive,US,\N,imdbDisplay,\N,0
tt0167096,2,Cugini,US,\N,imdbDisplay,\N,0
tt0167183,2,The Girls' Room,US,\N,imdbDisplay,\N,0
tt0167183,6,Best of Enemies,US,\N,alternative,\N,0
tt0167203,27,I Dreamed of Africa,US,\N,imdbDisplay,\N,0
tt0167360,2,Race to Space,US,\N,imdbDisplay,\N,0
tt0167802,2,The Boys Behind the Desk,US,\N,imdbDisplay,\N,0
tt0168446,4,Aberdeen,US,\N,imdbDisplay,\N,0
tt0168504,13,A Better Way to Die,US,\N,imdbDisplay,\N,0
tt0168509,4,The Bird Watcher,US,\N,imdbDisplay,\N,0
tt0168578,3,"Chicks, Man",US,\N,imdbDisplay,\N,0
tt0168612,3,The Playaz Court,US,\N,imdbDisplay,\N,0
tt0168612,4,The Court,US,\N,working,\N,0
tt0168629,12,Dancer in the Dark,US,\N,imdbDisplay,\N,0
tt0168631,9,Innocents,US,\N,\N,\N,0
tt0168714,1,Dream Witch,US,\N,imdbDisplay,\N,0
tt0168856,19,A Fish Tale,US,\N,\N,\N,0
tt0169102,20,Lagaan: Once Upon a Time in India,US,\N,imdbDisplay,\N,0
tt0169102,45,Taxation: Once Upon a Time in India,US,\N,\N,correct transliteration,0
tt0169122,12,Tales of Kama Sutra,US,\N,video,\N,0
tt0169122,2,Perfumed Garden: Tales of the Kama Sutra,US,\N,imdbDisplay,\N,0
tt0169324,10,A Friendship to Die For,US,\N,tv,\N,0
tt0169324,8,Tick Tock,US,\N,imdbDisplay,\N,0
tt0169324,9,A Friendship to Die for,US,\N,tv,\N,0
tt0169379,1,Whatcha Want,US,\N,imdbDisplay,\N,0
tt0169543,3,Almost Blue,US,\N,imdbDisplay,\N,0
tt0170008,2,Hollywood Palms,US,\N,imdbDisplay,\N,0
tt0170016,15,How the Grinch Stole Christmas,US,\N,imdbDisplay,\N,0
tt0170016,30,How the Grinch Stole Christmas: The Movie,US,\N,\N,complete title,0
tt0170016,9,The Grinch,US,\N,\N,promotional title,0
tt0170367,1,Peroxide Passion,US,\N,imdbDisplay,\N,0
tt0170452,13,Prince of Central Park,US,\N,imdbDisplay,\N,0
tt0170691,25,Tigerland,US,\N,imdbDisplay,\N,0
tt0171339,3,Generation Ax,US,\N,imdbDisplay,\N,0
tt0171356,23,Gun Shy,US,\N,imdbDisplay,\N,0
tt0171359,18,Hamlet,US,\N,imdbDisplay,\N,0
tt0171433,40,Keeping the Faith,US,\N,imdbDisplay,\N,0
tt0171436,1,The Kidnapping of Chris Burden,US,\N,imdbDisplay,\N,0
tt0171580,19,Nurse Betty,US,\N,imdbDisplay,\N,0
